Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 3475, 0, 0, 3, 47, 
5, -34.1, 3169.4, 0, 85.5, 0.73, 70.6, 
10, -61.9, 2996.7, 0, 126.4, 0.26, 97.9, 
15, -90.6, 2924.2, 0, 157.5, 0.16, 140.6, 
20, -96.1, 2866.6, 0, 164.9, 0.25, 156.8, 
25, -138.6, 2851.6, 0, 204.7, 0.17, 154, 
30, -148.6, 2858.1, 0, 251.9, 0.55, 156, 
35, -169, 2844.5, 0, 241.9, 0.21, 193, 
40, -134.2, 2944.6, 0, 243.5, 0.16, 241.1, 
45, -193, 3050.9, 0, 334.5, 0.22, 267.7, 
50, -116.3, 3195.6, 0, 254.3, 0.17, 325.4, 
55, -303.3, 3311, 0, 489, 0.28, 263.9, 
60, -188.4, 3489.5, 0, 327.1, 0.45, 376.8, 
65, -106.3, 3704.2, 0, 330.9, 0.27, 464.3, 
70, -143.4, 3895.2, 0, 311.5, 0.22, 486.1, 
75, -180.4, 4123.3, 0, 430.8, 0.2, 469.2, 
80, -214.5, 4327, 0, 450.9, 0.33, 431.1, 
85, -110.2, 4534.1, 0, 328.2, 0.26, 534.8, 
90, -85.8, 4760.7, 0, 299.5, 0.21, 526.8, 
95, -98.2, 5022, 0, 314.5, 0.22, 626.3, 
100, -90.5, 5242.9, 0, 385.2, 0.27, 551.7, 
